BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01633,-,-,-,-,-,-,-,-,-,-,-,-,>10,5.21,173,16,0.9,<5,0.38,12,3,31,>10000,2.39,4.47,1.0,9,0.21,153,196,1.34,18,0.05,1457,1.25,<5,2.2,<10,32.6,0.07,16,<10,<0.5,2626,15.6,15,2.13
PAL01634,0.39,0.39,-,-,-,-,-,-,-,-,-,-,>10,4.29,735,159,2.1,<5,14.5,2,63,62,>10000,1.13,1.60,33.0,57,1.03,3747,63,0.73,95,0.05,156,0.70,10,5.3,<10,331,0.15,527,<10,22.0,357,57.3,52,1.60
PAL01635,0.70,0.70,-,-,-,-,-,-,-,-,-,-,<2,3.27,12,322,0.9,<5,7.82,<1,3,6,169,0.55,1.56,5.7,24,0.26,374,1,0.99,7,0.02,21,>5,<5,0.9,<10,729,0.04,19,<10,4.3,16,22.3,-,-
PAL01636,1.02,1.02,-,-,-,-,-,-,-,-,-,-,<2,3.24,<3,428,0.8,<5,7.35,<1,1,4,28.7,0.59,1.62,6.1,23,0.20,491,<1,0.88,5,0.02,39,4.90,<5,0.9,<10,678,0.04,10,<10,4.6,15,18.0,-,-
PAL01637,1.05,1.05,-,-,-,-,-,-,-,-,-,-,<2,3.30,<3,432,0.8,<5,5.13,<1,1,4,12.2,0.75,1.73,6.2,22,0.23,207,<1,0.82,7,0.02,16,3.69,<5,1.0,<10,539,0.04,13,<10,4.1,19,22.6,-,-
PAL01638,0.98,0.98,-,-,-,-,-,-,-,-,-,-,<2,3.59,<3,460,0.8,<5,4.17,<1,2,6,10.8,1.02,1.81,5.9,29,0.30,214,<1,0.91,8,0.02,16,2.97,<5,1.1,<10,504,0.03,10,<10,3.6,19,22.0,-,-
PAL01639,1.70,1.70,-,-,-,-,-,-,-,-,-,-,<2,3.55,<3,427,0.9,<5,4.18,<1,2,8,8.0,0.84,1.95,9.8,27,0.40,547,<1,0.82,8,0.02,15,1.82,<5,1.4,<10,297,0.04,11,<10,7.0,18,31.8,-,-
PAL01640,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.48,<3,413,0.9,<5,4.05,<1,2,7,8.9,0.83,1.89,8.5,26,0.38,486,<1,0.78,8,0.02,15,1.78,<5,1.4,<10,314,0.04,11,<10,6.8,18,30.8,-,-
PAL01641,1.26,1.26,-,-,-,-,-,-,-,-,-,-,<2,3.13,4,314,1.0,<5,3.80,<1,1,9,7.7,0.74,1.73,17.5,22,0.26,771,<1,0.68,5,0.02,15,0.26,<5,2.1,<10,147,0.06,16,<10,10.0,13,48.9,-,-
*DUP-PAL01641,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.33,<3,347,1.1,<5,4.20,<1,2,9,9.9,0.80,1.87,16.8,25,0.29,882,<1,0.76,6,0.02,13,0.29,<5,2.4,<10,158,0.06,17,<10,11.6,16,54.3,-,-
