BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Pb_pct[AAS42S|LDL:0.002|UDL:2.5],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01316,0.76,0.76,-,-,-,-,-,-,-,-,-,-,<2,3.60,6,595,0.8,<5,7.74,<1,3,8,6.1,0.69,1.86,13.0,25,0.24,1317,<1,0.75,6,0.03,18,0.04,<5,1.5,<10,154,0.04,12,<10,13.5,20,33.6,-,-,-,-
PAL01317,0.75,0.75,-,-,-,-,-,-,-,-,-,-,<2,4.59,3,504,1.3,<5,8.46,<1,2,7,6.8,0.63,2.88,18.6,27,0.20,897,<1,0.89,3,0.03,10,0.02,<5,2.1,<10,182,0.06,13,<10,15.9,14,60.0,-,-,-,-
PAL01318,0.99,0.99,-,-,-,-,-,-,-,-,-,-,<2,3.61,4,418,1.1,<5,10.4,<1,7,8,21.3,0.84,2.12,11.4,28,1.24,1449,<1,0.82,14,0.03,20,0.06,<5,2.0,<10,233,0.05,13,<10,16.1,16,38.6,-,-,-,-
PAL01319,0.69,0.69,-,-,-,-,-,-,-,-,-,-,<2,3.89,5,596,0.8,<5,9.69,<1,7,11,18.4,0.65,2.27,15.3,31,0.25,2262,<1,0.84,15,0.03,10,0.05,<5,1.9,<10,197,0.05,12,<10,18.7,10,34.7,-,-,-,-
PAL01320,0.50,0.50,-,-,-,-,-,-,-,-,-,-,<2,3.49,12,308,0.7,<5,8.95,<1,5,11,52.3,0.74,1.80,10.7,30,0.19,1197,<1,0.82,9,0.03,15,0.03,<5,1.7,<10,150,0.05,14,<10,13.4,12,38.2,-,-,-,-
PAL01321,1.12,1.12,-,-,-,-,-,-,-,-,-,-,<2,3.32,8,1284,0.6,<5,2.50,<1,2,13,5.9,0.64,2.21,11.2,23,0.21,502,<1,0.79,4,0.03,33,0.05,<5,1.0,<10,170,0.04,9,<10,7.8,8,28.4,-,-,-,-
PAL01322,1.76,1.76,-,-,-,-,-,-,-,-,-,-,<2,3.08,7,1700,0.6,<5,2.15,<1,3,7,4.9,0.66,2.16,9.6,22,0.23,487,<1,0.72,4,0.02,29,0.06,<5,1.0,<10,218,0.04,8,<10,7.0,33,23.6,-,-,-,-
PAL01323,1.58,1.58,-,-,-,-,-,-,-,-,-,-,<2,3.39,5,1584,0.7,<5,2.20,<1,2,8,3.9,0.67,2.52,9.6,25,0.25,505,<1,0.80,4,0.03,16,0.06,<5,1.1,<10,205,0.04,10,<10,7.5,8,28.7,-,-,-,-
PAL01324,2.42,2.42,-,-,-,-,-,-,-,-,-,-,<2,0.55,<3,27,<0.5,<5,>15,<1,2,7,2.9,0.33,0.21,2.7,18,1.47,121,3,0.11,4,<0.01,23,>5,<5,0.8,<10,1493,0.03,13,<10,1.2,44,5.5,-,-,-,-
PAL01325,2.17,2.17,-,-,-,-,-,-,-,-,-,-,<2,0.20,<3,10,<0.5,<5,>15,<1,<1,4,2.5,0.11,0.09,1.8,24,2.49,123,9,0.08,2,<0.01,15,>5,<5,<0.5,<10,1445,0.01,14,<10,0.7,7,3.2,-,-,-,-
