fid,HoleID,From,To,SampleID,Length_mm,Cu_pc,mid_x,mid_y,mid_z,PROJECTCOD,PNTPROSPC,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,SF_Observe,WGS84_CALX,WGS84_CALY,WGS84_CALZ,CoordSurv,SurvInstr,SampleDate,SAMPLEDBY,Lith1,Lith2,LT_Color1,LT_Color2,Lith_Desc,Alt_Assbl1,Alt1,Alt2,Alt3,Alt_Desc,MN_Miner_1,MN_Miner_2,MN_Miner_3,Min_Desc,Lab_L_D,Dsptch_L_D,SmpDspDate,Labjobno,SmpRetDate,AnalysisLD,GenerMeth,SampWt_g_D,RecvdWt_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD
236,Ro17,478.229,478.295,,66,0.021,4348766.65,5646242.45,-173.4487081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.4487081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,214,,,,,,,,,,,,60,,,,32,,,
237,Ro17,478.295,478.48,,185,0.027,4348766.65,5646242.45,-173.5742081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.5742081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,269,,,,,,,,,,,,60,,,,37,,,
238,Ro17,479,479.118,,118,0.048,4348766.65,5646242.45,-174.2457081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.2457081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,480,,,,,,,,,,,,60,,,,53,,,
239,Ro17,479.118,479.142,,24,0.064,4348766.65,5646242.45,-174.3167081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.3167081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,641,,,,,,,,,,,,60,,,,55,,,
240,Ro17,479.142,479.174,,32,0.078,4348766.65,5646242.45,-174.3447081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.3447081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,779,,,,,,,,,,,,60,,,,57,,,
241,Ro17,479.174,479.224,,50,0.073,4348766.65,5646242.45,-174.3857081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.3857081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,733,,,,,,,,,,,,60,,,,69,,,
242,Ro17,479.224,479.314,,90,0.062,4348766.65,5646242.45,-174.4557081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.4557081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,618,,,,,,,,,,,,60,,,,68,,,
243,Ro17,479.314,479.374,,60,0.05,4348766.65,5646242.45,-174.5307081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.5307081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,503,,,,,,,,,,,,60,,,,69,,,
244,Ro17,479.374,479.445,,71,0.087,4348766.65,5646242.45,-174.5962081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.5962081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,871,,,,,,,,,,,,60,,,,59,,,
245,Ro17,479.445,479.576,,131,0.094,4348766.65,5646242.45,-174.6972081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.6972081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,940,,,,,,,,,,,,60,,,,69,,,
246,Ro17,479.576,479.61,,34,0.112,4348766.65,5646242.45,-174.7797081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.7797081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1124,,,,,,,,,,,,60,,,,73,,,
247,Ro17,479.71,479.773,,63,0.069,4348766.65,5646242.45,-174.9282081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.9282081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,687,,,,,,,,,,,,60,,,,90,,,
248,Ro17,479.773,479.901,,128,0.043,4348766.65,5646242.45,-175.0237081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.0237081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,434,,,,,,,,,,,,60,,,,80,,,
249,Ro17,479.901,480,,99,0.023,4348766.65,5646242.45,-175.1372081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.1372081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,225,,,,,,,,,,,,60,,,,79,,,
250,Ro17,480.11,480.182,,72,0.032,4348766.65,5646242.45,-175.3327081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.3327081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,315,,,,,,,,,,,,60,,,,80,,,
251,Ro17,480.182,480.262,,80,0.016,4348766.65,5646242.45,-175.4087081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.4087081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,164,,,,,,,,,,,,80,,,,122,,,
252,Ro17,480.262,480.306,,44,0.014,4348766.65,5646242.45,-175.4707081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.4707081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,143,,,,,,,,,,,,80,,,,104,,,
253,Ro17,480.306,480.336,,30,0.015,4348766.65,5646242.45,-175.5077081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.5077081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,150,,,,,,,,,,,,80,,,,104,,,
254,Ro17,480.336,480.456,,120,0.081,4348766.65,5646242.45,-175.5827081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.5827081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,810,,,,,,,,,,,,80,,,,144,,,
255,Ro17,480.456,480.499,,43,0.155,4348766.65,5646242.45,-175.6642081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.6642081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1546,,,,,,,,,,,,80,,,,213,,,
256,Ro17,480.499,480.608,,109,0.012,4348766.65,5646242.45,-175.7402081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.7402081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,124,,,,,,,,,,,,92,,,,150,,,
257,Ro17,480.608,480.706,,98,0.03,4348766.65,5646242.45,-175.8437081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.8437081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,300,,,,,,,,,,,,92,,,,144,,,
258,Ro17,480.706,480.8,,94,0.018,4348766.65,5646242.45,-175.9397081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.9397081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,176,,,,,,,,,,,,80,,,,133,,,
259,Ro17,481,481.081,,81,0.072,4348766.65,5646242.45,-176.2272081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.2272081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,715,,,,,,,,,,,,80,,,,344,,,
260,Ro17,481.081,481.126,,45,0.076,4348766.65,5646242.45,-176.2902081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.2902081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,762,,,,,,,,,,,,80,,,,207,,,
261,Ro17,481.126,481.162,,36,0.069,4348766.65,5646242.45,-176.3307081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.3307081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,693,,,,,,,,,,,,80,,,,69,,,
262,Ro17,481.162,481.252,,90,0.114,4348766.65,5646242.45,-176.3937081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.3937081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1143,,,,,,,,,,,,80,,,,56,,,
263,Ro17,481.252,481.304,,52,0.06,4348766.65,5646242.45,-176.4647081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.4647081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,596,,,,,,,,,,,,80,,,,65,,,
264,Ro17,481.304,481.326,,22,0.143,4348766.65,5646242.45,-176.5017081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.5017081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1428,,,,,,,,,,,,80,,,,196,,,
265,Ro17,481.326,481.338,,12,0.086,4348766.65,5646242.45,-176.5187081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.5187081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,857,,,,,,,,,,,,92,,,,122,,,
266,Ro17,481.338,481.368,,30,0.1,4348766.65,5646242.45,-176.5397081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.5397081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1000,,,,,,,,,,,,80,,,,104,,,
267,Ro17,481.368,481.385,,17,0.264,4348766.65,5646242.45,-176.5632081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.5632081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2639,,,,,,,,,,,,80,,,,150,,,
268,Ro17,481.385,481.465,,80,0.333,4348766.65,5646242.45,-176.6117081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.6117081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3328,,,,,,,,,,,,92,,,,110,,,
269,Ro17,481.465,481.507,,42,0.368,4348766.65,5646242.45,-176.6727081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.6727081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3684,,,,,,,,,,,,92,,,,196,,,
270,Ro17,481.507,481.563,,56,2.734,4348766.65,5646242.45,-176.7217081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.7217081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,27340,,,,,,,,,,,,92,,,,150,,,
